Type,BodyPart,Equipment,Level,Title
4,0,4,2,879
4,13,2,2,1419
2,13,2,2,2131
4,0,8,0,231
4,13,1,2,117
4,9,11,0,1784
4,13,1,2,368
4,14,4,2,1394
4,13,9,0,1816
4,5,2,2,2521
4,14,9,2,2503
5,4,11,0,967
2,5,10,0,535
4,13,11,2,1614
4,13,2,2,321
4,4,9,2,2477
4,9,3,2,2354
4,13,2,2,941
4,8,2,2,1108
1,14,1,0,2170
5,8,2,2,1867
4,14,4,2,720
4,0,2,2,1546
4,15,3,2,509
4,0,4,2,1940
4,16,3,2,1779
4,5,9,2,2478
5,4,2,2,2573
4,9,11,1,272
5,13,2,2,2021
4,14,4,2,708
4,0,2,2,1110
4,13,2,2,2438
5,14,12,0,2334
4,13,1,2,353
4,3,1,0,1850
4,14,11,2,2743
4,1,2,2,586
4,14,8,2,1732
4,0,2,2,983
4,0,2,2,954
4,16,4,2,2394
4,13,2,2,1926
4,16,2,2,2642
4,14,11,2,2542
4,4,11,2,2453
4,9,2,2,1681
4,13,11,2,1788
4,10,1,2,106
5,13,12,0,973
4,0,2,2,604
4,13,9,2,127
4,7,2,2,2862
4,0,2,2,1257
4,5,0,0,577
4,14,4,2,2616
4,0,2,2,992
2,5,2,0,545
4,8,9,2,2270
4,14,4,2,203
4,16,4,2,1369
4,0,2,2,2342
0,5,2,2,2672
4,14,4,2,155
2,13,2,2,2348
4,0,2,2,1960
4,14,8,2,2406
4,16,5,2,608
4,13,8,2,2707
5,1,2,2,2899
6,10,11,0,276
4,3,2,2,2792
4,0,2,2,1306
3,8,9,2,989
4,10,8,2,842
4,9,2,2,2019
4,13,2,2,1328
4,14,4,2,684
4,13,2,2,1289
4,10,2,0,2071
4,14,4,2,2831
4,7,2,2,1838
4,0,2,2,2299
4,0,2,2,1968
4,7,2,2,2725
5,14,11,0,534
4,11,11,2,2669
4,8,4,2,2629
5,13,2,2,261
4,0,2,2,2723
4,0,2,2,1550
4,5,9,2,1890
5,11,2,2,1990
4,16,3,2,278
3,16,1,2,407
4,0,11,2,1547
2,13,2,0,2622
4,11,11,0,1679
4,13,11,2,2885
4,14,4,2,2231
4,14,4,2,814
4,9,3,2,2643
4,0,2,2,1489
4,13,8,2,903
4,13,2,2,2726
4,14,4,2,1497
4,0,2,2,2736
4,0,2,2,1135
4,0,11,0,2120
4,16,3,2,9
1,14,1,2,402
4,5,11,2,642
5,8,2,2,1168
4,7,2,2,746
4,10,3,2,2018
2,8,2,2,1766
4,8,9,0,2190
4,2,2,2,2346
4,14,0,2,2819
4,0,2,2,1039
4,13,2,2,1628
4,13,2,2,1337
4,13,2,2,1415
4,13,9,2,2450
4,5,4,2,606
4,13,2,2,1748
2,8,2,2,1995
4,14,5,2,1659
5,14,2,2,2058
5,8,11,0,532
2,13,12,2,726
4,0,2,2,1487
5,4,12,0,520
4,6,11,0,2118
4,7,2,2,1272
4,11,2,2,1025
4,0,8,2,897
4,5,2,0,559
4,14,3,2,491
4,5,2,2,630
4,11,4,2,754
4,13,1,0,976
4,13,4,2,662
4,0,4,2,699
4,11,8,2,860
4,0,3,2,2601
4,8,9,2,2096
4,3,4,0,580
4,9,4,2,859
4,14,6,2,432
4,15,9,2,2509
4,0,10,2,914
4,14,4,2,817
1,13,1,0,552
5,8,0,2,2574
2,8,2,2,1632
4,0,2,2,1952
4,0,2,2,364
5,9,12,0,2344
4,4,9,2,2283
4,11,3,2,72
4,3,4,2,251
4,0,3,0,492
4,13,2,2,1801
3,10,1,0,2268
4,13,2,2,1118
4,0,4,1,682
4,3,9,2,1894
4,16,9,2,2494
4,16,4,2,1379
4,5,2,2,184
4,14,4,0,686
4,13,1,0,2877
4,13,2,2,1424
4,5,9,2,100
4,0,4,2,710
4,0,2,2,2534
4,0,2,2,1323
4,3,4,0,2261
5,13,2,2,1166
0,13,9,2,2749
4,13,1,2,2777
4,9,1,0,375
4,16,5,2,767
4,13,2,2,2439
4,8,2,2,1009
4,7,2,2,1209
